run_type,units1,units2,depth,optimizer,lr,epochs,batchsize,train_steps,valid_steps,capacity_proxy,final_valid_acc,best_valid_acc
overnight_grid,420,256,4,adamw,0.0015,12,128,140,50,1188,0.8765625,0.8765625
overnight_grid,420,32,2,rmsprop,0.0015,12,128,140,50,452,0.8734375,0.8734375
overnight_grid,256,512,2,adamw,0.001,12,96,140,50,768,0.871875,0.871875
overnight_grid,64,512,4,adamw,0.001,12,96,140,50,1600,0.868125,0.8689583333333334
overnight_grid,512,256,4,rmsprop,0.0003,12,128,140,50,1280,0.86734375,0.86734375
overnight_grid,1024,420,4,adam,0.0015,12,128,140,50,2284,0.86671875,0.87015625
overnight_grid,768,420,2,adam,0.0015,12,67,140,50,1188,0.866268656716418,0.866268656716418
overnight_grid,420,256,3,adam,0.0015,8,96,140,50,932,0.86625,0.86625
overnight_grid,128,128,2,rmsprop,0.00067,12,128,140,50,256,0.86328125,0.86859375
overnight_grid,420,512,3,adamw,0.0015,8,128,140,50,1444,0.86328125,0.86375
overnight_grid,256,32,2,rmsprop,0.0015,12,96,140,50,288,0.8616666666666667,0.8622916666666667
overnight_grid,768,420,4,adamw,0.0003,12,96,140,50,2028,0.8591666666666666,0.868125
overnight_grid,256,420,3,adam,0.0015,8,96,140,50,1096,0.85875,0.85875
overnight_grid,1024,512,3,rmsprop,0.00067,12,64,140,50,2048,0.8578125,0.863125
overnight_grid,256,128,3,rmsprop,0.00067,12,67,140,50,512,0.8576119402985075,0.8576119402985075
overnight_grid,420,256,2,adam,0.0015,8,128,140,50,676,0.8559375,0.86671875
overnight_grid,256,64,2,adamw,0.00067,12,128,140,50,320,0.8553125,0.86234375
overnight_grid,64,420,4,adamw,0.001,12,64,140,50,1324,0.855,0.871875
overnight_grid,768,128,4,rmsprop,0.00067,12,64,140,50,1152,0.855,0.855
overnight_grid,512,64,3,adam,0.00067,12,96,140,50,640,0.8547916666666666,0.8616666666666667
overnight_grid,768,128,4,rmsprop,0.001,12,64,140,50,1152,0.8546875,0.8596875
overnight_grid,768,512,4,adamw,0.0015,5,128,140,50,2304,0.85265625,0.85265625
overnight_grid,1024,64,2,adamw,0.0003,12,67,140,50,1088,0.8525373134328358,0.8540298507462687
overnight_grid,420,256,4,adamw,0.0015,12,64,140,50,1188,0.8525,0.85625
overnight_grid,32,420,3,adam,0.00067,12,32,140,50,872,0.851875,0.851875
overnight_grid,64,64,2,adam,0.00067,12,96,140,50,128,0.850625,0.850625
overnight_grid,420,128,4,adamw,0.00067,12,64,140,50,804,0.850625,0.8546875
overnight_grid,1024,512,3,adamw,0.0015,12,42,140,50,2048,0.8504761904761905,0.8504761904761905
overnight_grid,768,420,4,adamw,0.001,8,96,140,50,2028,0.85,0.8570833333333333
overnight_grid,1024,128,3,adam,0.0015,5,67,140,50,1280,0.8492537313432836,0.8492537313432836
overnight_grid,512,32,4,adamw,0.001,12,96,140,50,608,0.8489583333333334,0.8577083333333333
overnight_grid,64,32,3,adamw,0.001,12,96,140,50,128,0.84875,0.85
overnight_grid,420,512,2,adamw,0.0001,12,42,140,50,932,0.8485714285714285,0.8485714285714285
overnight_grid,512,64,3,adamw,0.001,12,42,140,50,640,0.8471428571428572,0.8533333333333334
overnight_grid,420,256,4,adam,0.0015,8,42,140,50,1188,0.8461904761904762,0.8461904761904762
overnight_grid,256,128,3,adamw,0.00067,5,42,140,50,512,0.8461904761904762,0.8461904761904762
overnight_grid,420,128,2,rmsprop,0.0015,12,64,140,50,548,0.8459375,0.8590625
overnight_grid,512,512,4,rmsprop,0.0015,12,64,140,50,2048,0.8459375,0.855
overnight_grid,32,256,3,adam,0.0015,5,96,140,50,544,0.8458333333333333,0.8458333333333333
overnight_grid,128,420,4,adamw,0.0015,12,42,140,50,1388,0.8457142857142858,0.8480952380952381
overnight_grid,256,256,3,adamw,0.00067,12,67,140,50,768,0.844776119402985,0.862089552238806
overnight_grid,32,256,4,adam,0.0015,8,67,140,50,800,0.8444776119402985,0.8444776119402985
overnight_grid,256,32,4,rmsprop,0.0015,8,64,140,50,352,0.8440625,0.8440625
overnight_grid,1024,32,4,adamw,0.0015,12,32,140,50,1120,0.84375,0.844375
overnight_grid,32,256,2,rmsprop,0.0003,12,96,140,50,288,0.8435416666666666,0.8435416666666666
overnight_grid,256,420,2,adam,0.00067,5,67,140,50,676,0.8432835820895522,0.8432835820895522
overnight_grid,128,32,3,rmsprop,0.00067,8,128,140,50,192,0.84328125,0.84328125
overnight_grid,64,512,3,adam,0.0003,8,128,140,50,1088,0.84265625,0.84640625
overnight_grid,256,420,3,rmsprop,0.0015,12,64,140,50,1096,0.8425,0.868125
overnight_grid,32,256,2,adam,0.00067,12,64,140,50,288,0.8425,0.845625
overnight_grid,1024,512,2,adamw,0.0001,8,64,140,50,1536,0.8421875,0.8421875
overnight_grid,32,256,3,adam,0.0003,12,64,140,50,544,0.8421875,0.846875
overnight_grid,1024,32,4,adamw,0.0015,8,67,140,50,1120,0.8417910447761194,0.8417910447761194
overnight_grid,128,128,4,rmsprop,0.0015,8,96,140,50,512,0.8408333333333333,0.848125
overnight_grid,32,128,4,rmsprop,0.00067,12,42,140,50,416,0.8404761904761905,0.840952380952381
overnight_grid,768,512,3,adam,0.00067,8,42,140,50,1792,0.84,0.8414285714285714
overnight_grid,1024,256,4,rmsprop,0.00067,8,42,140,50,1792,0.839047619047619,0.839047619047619
overnight_grid,1024,128,3,adam,0.0001,12,96,140,50,1280,0.8389583333333334,0.8389583333333334
overnight_grid,32,420,3,rmsprop,0.00067,5,64,140,50,872,0.83875,0.83875
overnight_grid,128,32,3,adam,0.00067,8,96,140,50,192,0.8385416666666666,0.8385416666666666
overnight_grid,128,128,3,adam,0.0003,12,64,140,50,384,0.8384375,0.8390625
overnight_grid,128,420,4,rmsprop,0.001,8,64,140,50,1388,0.8378125,0.8378125
overnight_grid,512,420,2,adam,0.0001,12,32,140,50,932,0.8375,0.8375
overnight_grid,420,512,2,rmsprop,0.0001,12,42,140,50,932,0.8371428571428572,0.8371428571428572
overnight_grid,420,64,4,adamw,0.00067,5,96,140,50,612,0.8366666666666667,0.8366666666666667
overnight_grid,512,64,2,rmsprop,0.0003,8,64,140,50,576,0.83625,0.8403125
overnight_grid,32,64,3,rmsprop,0.0015,12,42,140,50,160,0.8361904761904762,0.8361904761904762
overnight_grid,1024,512,3,adamw,0.0001,8,64,140,50,2048,0.835,0.835
overnight_grid,1024,512,2,adamw,0.0015,5,67,140,50,1536,0.8349253731343284,0.8349253731343284
overnight_grid,64,420,2,rmsprop,0.00067,5,96,140,50,484,0.8345833333333333,0.8345833333333333
overnight_grid,32,256,2,adam,0.00067,12,32,140,50,288,0.8325,0.839375
overnight_grid,256,128,2,adam,0.00067,12,42,140,50,384,0.8323809523809523,0.8576190476190476
overnight_grid,256,256,4,rmsprop,0.0001,12,96,140,50,1024,0.8322916666666667,0.8322916666666667
overnight_grid,512,128,2,adamw,0.00067,8,42,140,50,640,0.8319047619047619,0.8347619047619048
overnight_grid,32,512,4,adamw,0.001,5,96,140,50,1568,0.8316666666666667,0.8366666666666667
overnight_grid,64,32,4,adam,0.001,8,67,140,50,160,0.8316417910447761,0.8316417910447761
overnight_grid,256,512,2,adam,0.0015,8,67,140,50,768,0.8307462686567164,0.8525373134328358
overnight_grid,256,64,4,rmsprop,0.001,8,32,140,50,448,0.830625,0.830625
overnight_grid,512,512,4,rmsprop,0.001,5,96,140,50,2048,0.8304166666666667,0.8402083333333333
overnight_grid,256,128,2,rmsprop,0.0015,12,32,140,50,384,0.83,0.869375
overnight_grid,128,64,3,adamw,0.00067,12,42,140,50,256,0.8285714285714286,0.8533333333333334
overnight_grid,420,128,3,adamw,0.001,5,96,140,50,676,0.8279166666666666,0.8352083333333333
overnight_grid,64,32,3,adam,0.001,8,42,140,50,128,0.8276190476190476,0.8276190476190476
overnight_grid,512,128,2,rmsprop,0.00067,5,42,140,50,640,0.8276190476190476,0.8276190476190476
overnight_grid,1024,32,4,rmsprop,0.001,8,42,140,50,1120,0.8266666666666667,0.8352380952380952
overnight_grid,64,256,4,adam,0.0003,12,67,140,50,832,0.8262686567164179,0.84
overnight_grid,64,420,4,adam,0.001,12,32,140,50,1324,0.82625,0.849375
overnight_grid,512,256,3,rmsprop,0.0001,8,64,140,50,1024,0.8259375,0.8259375
overnight_grid,512,32,3,rmsprop,0.001,8,42,140,50,576,0.8257142857142857,0.839047619047619
overnight_grid,256,256,3,rmsprop,0.0003,5,96,140,50,768,0.825625,0.825625
overnight_grid,64,64,3,rmsprop,0.00067,12,42,140,50,192,0.8252380952380952,0.8423809523809523
overnight_grid,420,256,2,adam,0.001,8,42,140,50,676,0.8252380952380952,0.8580952380952381
overnight_grid,420,64,2,adam,0.0003,5,42,140,50,484,0.8247619047619048,0.8247619047619048
overnight_grid,420,128,2,rmsprop,0.0001,8,67,140,50,548,0.8238805970149253,0.8238805970149253
overnight_grid,128,512,2,rmsprop,0.00067,5,42,140,50,640,0.8223809523809524,0.8223809523809524
overnight_grid,1024,64,2,adam,0.00067,12,42,140,50,1088,0.8223809523809524,0.8671428571428571
overnight_grid,768,32,3,adamw,0.0003,5,67,140,50,832,0.82,0.82
overnight_grid,1024,64,4,rmsprop,0.0001,8,128,140,50,1216,0.82,0.82
overnight_grid,256,32,4,adamw,0.00067,8,64,140,50,352,0.8190625,0.8271875
overnight_grid,256,512,2,adamw,0.00067,5,32,140,50,768,0.81875,0.824375
overnight_grid,1024,256,3,rmsprop,0.0001,5,128,140,50,1536,0.8184375,0.82171875
overnight_grid,32,32,4,rmsprop,0.00067,8,96,140,50,128,0.8183333333333334,0.8183333333333334
overnight_grid,1024,32,3,rmsprop,0.001,8,64,140,50,1088,0.8178125,0.8390625
overnight_grid,768,32,3,rmsprop,0.0003,5,128,140,50,832,0.8171875,0.8171875
overnight_grid,420,256,3,adam,0.0001,8,42,140,50,932,0.8171428571428572,0.8242857142857143
overnight_grid,420,420,4,rmsprop,0.0001,8,32,140,50,1680,0.81625,0.81625
overnight_grid,768,32,2,adamw,0.0001,5,96,140,50,800,0.8145833333333333,0.8145833333333333
overnight_grid,256,420,3,adam,0.0001,5,96,140,50,1096,0.8135416666666667,0.8145833333333333
overnight_grid,64,64,4,adamw,0.00067,5,128,140,50,256,0.81296875,0.81296875
overnight_grid,128,512,3,rmsprop,0.0001,5,96,140,50,1152,0.810625,0.8145833333333333
overnight_grid,1024,64,2,rmsprop,0.001,8,32,140,50,1088,0.810625,0.831875
overnight_grid,512,256,4,rmsprop,0.0015,5,42,140,50,1280,0.81,0.81
overnight_grid,768,128,3,rmsprop,0.0001,5,128,140,50,1024,0.80984375,0.80984375
overnight_grid,32,128,3,adam,0.001,5,96,140,50,288,0.8083333333333333,0.8270833333333333
overnight_grid,420,256,4,adamw,0.00067,5,32,140,50,1188,0.808125,0.808125
overnight_grid,128,420,3,rmsprop,0.0003,5,67,140,50,968,0.8080597014925374,0.8367164179104477
overnight_grid,1024,256,4,adamw,0.0001,5,128,140,50,1792,0.80640625,0.815
overnight_grid,420,64,3,adam,0.0003,5,32,140,50,548,0.805,0.805
overnight_grid,420,128,3,adam,0.0001,8,32,140,50,676,0.80125,0.80375
overnight_grid,128,128,2,rmsprop,0.0001,5,128,140,50,256,0.79734375,0.79734375
overnight_grid,64,64,4,adamw,0.001,8,42,140,50,256,0.7971428571428572,0.8276190476190476
overnight_grid,768,32,4,adamw,0.0003,5,67,140,50,864,0.7970149253731343,0.7970149253731343
overnight_grid,256,128,4,adamw,0.0001,12,42,140,50,640,0.7961904761904762,0.7961904761904762
overnight_grid,64,256,3,adamw,0.0003,5,32,140,50,576,0.79125,0.805625
overnight_grid,420,32,4,rmsprop,0.0001,12,96,140,50,516,0.79125,0.79125
overnight_grid,256,64,2,sgd,0.0015,12,128,140,50,320,0.7825,0.7828125
overnight_grid,32,256,2,adam,0.0001,8,42,140,50,288,0.7823809523809524,0.7823809523809524
overnight_grid,64,32,4,rmsprop,0.0001,12,128,140,50,160,0.7790625,0.7790625
overnight_grid,256,420,2,sgd,0.001,12,67,140,50,676,0.7764179104477612,0.7764179104477612
overnight_grid,256,32,2,adam,0.0001,8,32,140,50,288,0.77625,0.786875
overnight_grid,256,64,2,adam,0.0001,5,42,140,50,320,0.7761904761904762,0.7761904761904762
overnight_grid,32,128,3,adamw,0.0001,5,128,140,50,288,0.771875,0.771875
overnight_grid,768,128,4,rmsprop,0.0001,5,42,140,50,1152,0.770952380952381,0.770952380952381
overnight_grid,420,420,2,sgd,0.001,12,64,140,50,840,0.7659375,0.7659375
overnight_grid,32,64,4,adam,0.0001,8,96,140,50,224,0.7579166666666667,0.7579166666666667
overnight_grid,512,32,4,adam,0.0001,5,96,140,50,608,0.7466666666666667,0.7466666666666667
overnight_grid,32,420,2,adamw,0.0001,5,42,140,50,452,0.7423809523809524,0.7423809523809524
overnight_grid,128,64,4,adam,0.0001,8,32,140,50,320,0.73375,0.73375
overnight_grid,32,64,2,sgd,0.0015,8,128,140,50,96,0.7278125,0.7278125
overnight_grid,768,128,2,sgd,0.0015,5,64,140,50,896,0.7084375,0.7084375
overnight_grid,768,512,4,sgd,0.0015,8,96,140,50,2304,0.6739583333333333,0.6739583333333333
overnight_grid,64,512,3,sgd,0.001,8,128,140,50,1088,0.67359375,0.67359375
overnight_grid,768,256,4,sgd,0.0015,8,32,140,50,1536,0.6575,0.659375
overnight_grid,1024,64,3,sgd,0.0015,5,67,140,50,1152,0.6498507462686567,0.6498507462686567
overnight_grid,256,64,2,sgd,0.001,5,128,140,50,320,0.64640625,0.64640625
overnight_grid,32,128,2,sgd,0.001,5,42,140,50,160,0.6357142857142857,0.6357142857142857
overnight_grid,256,512,2,sgd,0.0003,12,42,140,50,768,0.6314285714285715,0.6314285714285715
overnight_grid,420,420,3,sgd,0.00067,8,96,140,50,1260,0.6266666666666667,0.6266666666666667
overnight_grid,256,32,4,sgd,0.001,12,32,140,50,352,0.615625,0.616875
overnight_grid,32,512,4,sgd,0.00067,12,42,140,50,1568,0.6061904761904762,0.6061904761904762
overnight_grid,128,512,3,sgd,0.00067,8,128,140,50,1152,0.60546875,0.60546875
overnight_grid,768,32,3,sgd,0.001,8,96,140,50,832,0.603125,0.603125
overnight_grid,32,128,3,sgd,0.001,5,67,140,50,288,0.5916417910447761,0.5916417910447761
overnight_grid,768,420,2,sgd,0.0003,5,96,140,50,1188,0.5875,0.5875
overnight_grid,128,420,2,sgd,0.0003,5,32,140,50,548,0.58,0.58
overnight_grid,128,64,4,sgd,0.001,12,42,140,50,320,0.5657142857142857,0.5657142857142857
overnight_grid,768,128,4,sgd,0.001,8,128,140,50,1152,0.46890625,0.46890625
overnight_grid,128,420,2,sgd,0.0003,5,96,140,50,548,0.455625,0.47520833333333334
overnight_grid,420,32,3,sgd,0.0003,12,64,140,50,484,0.414375,0.414375
overnight_grid,420,420,3,sgd,0.0001,12,42,140,50,1260,0.39904761904761904,0.4033333333333333
overnight_grid,128,64,3,sgd,0.001,5,32,140,50,256,0.37625,0.37625
overnight_grid,768,64,3,sgd,0.0003,12,67,140,50,896,0.34,0.34
overnight_grid,256,32,2,sgd,0.0001,8,64,140,50,288,0.336875,0.336875
overnight_grid,128,420,3,sgd,0.0001,8,96,140,50,968,0.33479166666666665,0.33479166666666665
overnight_grid,420,420,3,sgd,0.0001,5,32,140,50,1260,0.285625,0.285625
overnight_grid,128,128,3,sgd,0.0003,5,128,140,50,384,0.27921875,0.27921875
overnight_grid,256,420,4,sgd,0.00067,8,42,140,50,1516,0.23761904761904762,0.35095238095238096
overnight_grid,1024,32,3,sgd,0.0003,5,128,140,50,1088,0.23390625,0.24265625
overnight_grid,128,32,4,sgd,0.001,5,42,140,50,224,0.22714285714285715,0.22714285714285715
overnight_grid,768,512,4,sgd,0.0001,12,128,140,50,2304,0.2059375,0.2059375
overnight_grid,420,128,4,sgd,0.0001,12,32,140,50,804,0.19625,0.20125
overnight_grid,128,256,4,sgd,0.00067,5,128,140,50,896,0.1815625,0.21125
overnight_grid,256,128,4,sgd,0.00067,5,64,140,50,640,0.179375,0.1915625
overnight_grid,256,64,4,sgd,0.0001,5,128,140,50,448,0.16953125,0.16953125
overnight_grid,128,64,4,sgd,0.0001,12,96,140,50,320,0.15729166666666666,0.15729166666666666
overnight_grid,128,420,3,sgd,0.0001,12,64,140,50,968,0.1565625,0.1565625
overnight_grid,64,420,4,sgd,0.0001,12,67,140,50,1324,0.13313432835820896,0.13313432835820896
overnight_grid,512,32,4,sgd,0.0001,5,42,140,50,608,0.10571428571428572,0.10666666666666667
overnight_grid,64,128,4,sgd,0.0003,5,64,140,50,448,0.100625,0.1090625
overnight_grid,1024,64,4,sgd,0.0003,8,42,140,50,1216,0.09571428571428571,0.10904761904761905
